head_gyro,head_magneto,head_odometry,head_vision
0,0,0,0
0,-0.307000000000002,0,0
0,-0.307000000000002,0,0
0,-0.307000000000002,0,0
0,-0.00600000000000023,0,0
0,-0.00600000000000023,0,0
0,-0.00600000000000023,0,0
0,0.253,0,0
0,0.253,0,0
0,0.253,0,0
0,0.0970000000000084,0,0
0,0.0970000000000084,0,0
0,0.0970000000000084,0,0
0,-0.170000000000002,0,0
0,-0.170000000000002,0,0
0,-0.170000000000002,0,0
0,-0.0619999999999976,0,0
0,-0.0619999999999976,0,0
0,-0.0619999999999976,0,0
0,0.185000000000002,0,0
0,0.185000000000002,0,0
0,0.240000000000009,0,0
0,0.240000000000009,0,0
0,0.240000000000009,0,0
0,-0.128,0,0
0,-0.128,0,0
0,-0.128,0,0
0,-0.0289999999999964,0,0
0,-0.0289999999999964,0,0
0,-0.0289999999999964,0,0
0,-0.185000000000002,0,0
0,-0.185000000000002,0,0
0,-0.185000000000002,0,0
0,0.228999999999999,0,0
0,0.228999999999999,0,0
0,0.228999999999999,0,0
0,0.0180000000000007,0,0
0,0.0180000000000007,0,0
0,0.0180000000000007,0,0
0,-0.191000000000003,0,0
0,-0.191000000000003,0,0
0,-0.191000000000003,0,0
0,-0.253,0,0
0,-0.253,0,0
0,-0.253,0,0
0,-0.046999999999997,0,0
0,-0.046999999999997,0,0
0,-0.046999999999997,0,0
0,-0.205999999999989,0,0
0,-0.205999999999989,0,0
0,-0.205999999999989,0,0
0,-0.359999999999999,0,0
0,-0.359999999999999,0,0
0,-0.359999999999999,0,0
0,-0.35799999999999,0,0
0,-0.35799999999999,0,0
0,-0.35799999999999,0,0
0,0.153000000000006,0,0
0,0.153000000000006,0,0
0,0.153000000000006,0,0
0,0.0510000000000019,0,0
0,0.0510000000000019,0,0
0,0.0510000000000019,0,0
0,0.14500000000001,0,0
0,0.14500000000001,0,0
0,0.14500000000001,0,0
0,-0.063999999999993,0,0
0,-0.063999999999993,0,0
0,-0.063999999999993,0,0
0,-0.321999999999989,0,0
0,-0.321999999999989,0,0
0,-0.321999999999989,0,0
0,0.347000000000008,0,0
0,0.347000000000008,0,0
0,0.347000000000008,0,0
0,-0.381999999999991,0,0
0,-0.381999999999991,0,0
0,-0.381999999999991,0,0
0,-0.0809999999999889,0,0
0,-0.0809999999999889,0,0
0,-0.0809999999999889,0,0
0,-0.182000000000002,0,0
0,-0.182000000000002,0,0
0,-0.182000000000002,0,0
0,0.123000000000005,0,0
0,0.123000000000005,0,0
0,0.123000000000005,0,0
0,0.118000000000009,0,0
0,0.118000000000009,0,0
0,0.118000000000009,0,0
0,-0.454999999999998,0,0
0,-0.454999999999998,0,0
0,-0.454999999999998,0,0
0,0.114000000000004,0,0
0,0.114000000000004,0,0
0,0.114000000000004,0,0
0,-0.0439999999999969,0,0
0,-0.0439999999999969,0,0
0,-0.0439999999999969,0,0
0,-0.254999999999995,0,0
0,-0.254999999999995,0,0
0,-0.203999999999994,0,0
0,-0.203999999999994,0,0
0,-0.203999999999994,0,0
0,-0.0559999999999974,0,0
0,-0.0559999999999974,0,0
0,-0.0559999999999974,0,0
0,0.054000000000002,0,0
0,0.054000000000002,0,0
0,0.054000000000002,0,0
0,-0.0600000000000023,0,0
0,-0.0600000000000023,0,0
0,-0.0600000000000023,0,0
0,-0.48299999999999,0,0
0,-0.48299999999999,0,0
0,-0.48299999999999,0,0
0,0.0300000000000011,0,0
0,0.0300000000000011,0,0
0,0.0300000000000011,0,0
0,-0.126999999999995,0,0
0,-0.126999999999995,0,0
0,-0.126999999999995,0,0
0,-0.327999999999989,0,0
0,-0.327999999999989,0,0
0,-0.327999999999989,0,0
0,-0.0769999999999982,0,0
0,-0.0769999999999982,0,0
0,-0.0769999999999982,0,0
0,-0.441000000000003,0,0
0,-0.441000000000003,0,0
0,-0.441000000000003,0,0
0,-0.236999999999995,0,0
0,-0.236999999999995,0,0
0,-0.236999999999995,0,0
0,0.125,0,0
0,0.125,0,0
0,0.125,0,0
0,-0.188000000000002,0,0
0,-0.188000000000002,0,0
0,-0.188000000000002,0,0
0,-0.301999999999992,0,0
0,-0.301999999999992,0,0
0,-0.301999999999992,0,0
0,-0.36099999999999,0,0
0,-0.36099999999999,0,0
0,-0.36099999999999,0,0
0,-0.202999999999989,0,0
0,-0.202999999999989,0,0
0,-0.202999999999989,0,0
0,-0.105999999999995,0,0
0,-0.105999999999995,0,0
0,-0.105999999999995,0,0
0,-0.265000000000001,0,0
0,-0.265000000000001,0,0
0,-0.265000000000001,0,0
0,-0.321999999999989,0,0
0,-0.321999999999989,0,0
0,-0.321999999999989,0,0
0,-0.271000000000001,0,0
0,-0.271000000000001,0,0
0,-0.271000000000001,0,0
0,0.0889999999999986,0,0
0,0.0889999999999986,0,0
0,0.0889999999999986,0,0
0,-0.176999999999992,0,0
0,-0.176999999999992,0,0
0,-0.176999999999992,0,0
0,-0.646000000000001,0,0
0,-0.646000000000001,0,0
0,-0.646000000000001,0,0
0,-0.185000000000002,0,0
0,-0.185000000000002,0,0
0,-0.185000000000002,0,0
0,-0.137,0,0
0,-0.137,0,0
0,-0.194000000000003,0,0
0,-0.194000000000003,0,0
0,-0.194000000000003,0,0
0,-0.137,0,0
0,-0.137,0,0
0,-0.137,0,0
0,-0.355999999999995,0,0
0,-0.355999999999995,0,0
0,-0.355999999999995,0,0
0,-0.0929999999999893,0,0
0,-0.0929999999999893,0,0
0,-0.0929999999999893,0,0
0,-0.0939999999999941,0,0
0,-0.0939999999999941,0,0
0,-0.0939999999999941,0,0
-0.00458366236104659,-0.36699999999999,0,0
-0.0137509870831398,-0.36699999999999,-0.00823170731707317,0
-0.0229183118052329,-0.36699999999999,-0.0296341463414634,0
-0.0309397209370645,-0.530999999999992,-0.0592682926829268,0
-0.0378152144786343,-0.530999999999992,-0.100426829268293,0
-0.0446907080202042,-0.530999999999992,-0.151463414634146,0
-0.0527121171520357,-0.393000000000001,-0.2025,0
-0.0618794418741289,-0.393000000000001,-0.24859756097561,0.0959730000000003
-0.0710467665962221,-0.393000000000001,-0.286463414634146,0
-0.0825059224988386,-0.477999999999994,-0.314451219512195,0
-0.0962569095819783,-0.477999999999994,-0.339146341463415,0
-0.110007896665118,-0.477999999999994,-0.375365853658536,0
-0.130634377289828,-0.888999999999996,-0.428048780487805,-1.633911
-0.158136351456107,-0.888999999999996,-0.495548780487805,-1.633911
-0.185638325622387,-0.888999999999996,-0.574573170731707,-1.633911
-0.21543213096919,-1.19199999999999,-0.655243902439024,0
