x_odometry,y_odometry,x_vision,y_vision,x_efference,y_efference
-0,-0,0,0,0.00111699838667824,0.019547471306744
-0,-0,0,0,0.001214128681172,0.021247251420374
-0,-0,0,0,0.00131125897566576,0.0229470315340039
-1.25602018703643e-05,2.49411692514539e-05,0,0,0.00140838927015952,0.0246468116476338
-4.52167267333114e-05,8.97882093052342e-05,0,0,0.00150551956465328,0.0263465917612637
-9.04334534666229e-05,0.000179576418610468,0,0,0.00160264985914704,0.0280463718748936
-0.000153234462818444,0.000304282264867738,0,0.003429,0.0016997801536408,0.0297461519885235
-0.000231107714414703,0.000458917514226753,0,0.003429,0.00179691044813456,0.0314459321021535
-0.000306221582644661,0.000661841971359344,0,0.003429,0.00189404074262832,0.0331457122157834
-0.000366624933000021,0.000975353667152364,0,0.00685801,0.00199117103712208,0.0348454923294133
-0.000404646703893795,0.00142812887266252,0,0.00685801,0.00208830133161584,0.0365452724430432
-0.000417662452424451,0.00202481582305581,0,0.00685801,0.00218685516126925,0.0382449700156118
-0.000400535695316387,0.00276507451964793,0,0.00685801,0.00228540899092266,0.0399446675881803
-0.000336099086159583,0.00364797045653973,0,0.01028701,0.00238253928541642,0.0416444477018102
-0.000225456378300559,0.00465418795062177,0,0.01371601,0.00247966957991018,0.0433442278154402
-8.36603439846378e-05,0.00576188192985535,0,0.01371601,0.00257679987440394,0.0450440079290701
7.63484299876578e-05,0.00696216450490501,0,0.01371601,0.00264967728544427,0.0467448272403059
0.000244150185146872,0.00823964477703788,0,0.01714502,0.00269830181303117,0.0484466857491477
0.000406489554823497,0.00954976976742009,0,0.01714502,0.00274692634061807,0.0501485442579894
0.000531728399179508,0.0108603685835486,0,0.02057402,0.0028198037516584,0.0518493635692253
0.00060230929836883,0.0121741178979886,0,0.02057402,0.00291693404615216,0.0535491436828552
0.000639434453029718,0.0134897789693038,0,0.02057402,0.00301548787580557,0.0552488412554238
0.000679930182718123,0.0147858414945109,0,0.02400302,0.00311404170545898,0.0569485388279923
0.000740522235399112,0.0160419981489156,0,0.02400302,0.00321117199995274,0.0586483189416222
0.000811162449576391,0.0172782018679192,0,0.02743202,0.0033083022944465,0.0603480990552521
0.000897122248990335,0.0185377536254449,0,0.02743202,0.00340543258894026,0.0620478791688821
0.0010025693040348,0.0198446387123066,0,0.03086103,0.00350256288343402,0.063747659282512
0.00110575166169741,0.0212097894746424,0,0.03429003,0.00359969317792778,0.0654474393961419
0.00121530919644692,0.022637556894011,0,0.03429003,0.00369682347242154,0.0671472195097718
0.00134073819310635,0.0240983301934564,0,0.03771903,0.0037939537669153,0.0688469996234018
0.00147045835740082,0.0255636644570347,0,0.03771903,0.00389108406140906,0.0705467797370317
0.00158596268980514,0.0270249663652003,0,0.04114804,0.00398963789106247,0.0722464773096002
0.00164400870372064,0.0284605772193338,0,0.04114804,0.00408819172071588,0.0739461748821688
0.00161479956259445,0.0298866400163962,0,0.04114804,0.00418674555036929,0.0756458724547374
0.00150799851125566,0.0313461495385629,0,0.04114804,0.00428529938002271,0.0773455700273059
0.00136884546873495,0.0328268865007143,0.0030473,0.04457704,0.00438242967451647,0.0790453501409358
0.00124280450475787,0.034292340135169,0,0.04800604,0.00447955996901023,0.0807451302545658
0.00119017538002539,0.0357161493887741,0,0.04800604,0.00457669026350399,0.0824449103681957
0.00121144198879875,0.0371115125855233,0,0.05143505,0.00469795540367584,0.0841429669141086
0.00128392798529923,0.0385268643125079,0,0.05143505,0.00481922054384769,0.0858410234600215
0.00141438106270681,0.0399776611442528,0,0.05486405,0.00491635083834145,0.0875408035736514
